R_gyr,L_gyr,R_acc,L_acc,SampleRate
-0.219824817776680,-0.135227511823177,-4.80971698760986,1.27445287704468,128
-0.216406750679016,-0.0764793854206801,-4.72670660018921,2.76863903999329,
-0.153386026620865,0.0634479776024818,-5.1149019241333,2.70027763843536,
-0.170262759923935,0.295876932144165,-4.24573488235474,0.805688619613648,
-0.189489427208900,0.505020284652710,-4.58998374938965,1.12063963413239,
-0.201666313409805,0.760093998908997,-4.75600423812866,0.744651591777802,
-0.174108093976975,0.926084160804749,-4.96597175598145,0.363780620507896,
-0.140140989422798,1.07947020530701,-5.01724290847778,-0.212408817559481,
-0.114719071984291,1.21918387413025,-4.85122194290161,-1.25736253261566,
-0.0860927134752274,1.32407600879669,-4.99526929855347,-1.97027487754822,
-0.0647297590970993,1.41294593811035,-4.90493450164795,-2.62703323364258,
-0.0514847241342068,1.4962614774704,-4.72426519393921,-3.34238700866699,
-0.0371715441346168,1.55671865940094,-4.77553634643555,-3.97717189788818,
-0.0170903652906418,1.62251653671265,-4.84633932113647,-4.69740877151489,
0.00512710958719254,1.65861992835999,-4.96597166061401,-5.11490211486816,
0.0241401409730315,1.66844685077667,-4.95376424789429,-5.33707656860352,
0.0457167264074087,1.67656481266022,-4.84633903503418,-5.69841566085816,
0.0587481312453747,1.67442855834961,-4.79262657165527,-5.976744556427,
0.0745567165315151,1.6697286605835,-4.85366344451904,-6.19159488677979,
0.0865199729800224,1.65584273338318,-4.77309484481812,-6.39912090301514,
0.0920743390917778,1.64708395004272,-4.74868011474609,-6.64815177917481,
0.0886562705039978,1.63875234127045,-4.807275390625,-6.82637987136841,
0.0781884238123894,1.61717576980591,-4.67543525695801,-6.84102878570557,
0.0681478306651115,1.59132659435272,-4.6192813873291,-6.88741674423218,
0.0619525745511055,1.57167272567749,-4.54603681564331,-7.04611310958862,
0.0694296084344387,1.56227295398712,-4.65590372085571,-7.25608034133911,
0.0809656038880348,1.54710528850555,-4.6192813873291,-7.31467599868774,
0.101260413229465,1.52488784790039,-4.37757472991943,-7.56126537322998,
0.113437296450138,1.51249735355377,-4.36048431396484,-7.92748756408691,
0.0957060456275940,1.49198889732361,-4.4972071647644,-7.90307292938233,
0.0882290124893189,1.4238410949707,-4.46058511734009,-7.79564781188965,
0.0892971560359001,1.32343518733978,-4.56068572998047,-8.13745517730713,
0.104251228272915,1.21982481479645,-4.76577005386353,-8.40113506317139,
0.132663956284523,1.08758813142777,-5.04409894943237,-8.33521480560303,
0.130314028263092,0.945738101005554,-4.84878063201904,-8.14233808517456,
0.108523815870285,0.737662887573242,-4.49232425689697,-7.95434417724609,
0.0779747903347015,0.491988861560822,-4.48744144439697,-8.56715564727783,
0.0502029463648796,0.200811779499054,-4.36780891418457,-8.45240573883057,
0.0252082876861095,-0.117496258020401,-4.71449899673462,-8.15454559326172,
-0.0104678481817246,-0.334971147775650,-4.84878072738647,-9.01638793945313,
-0.0284127313643694,-0.411664181947708,-4.72182378768921,-10.8450571060181,
-0.0677205722779036,-0.365306568145752,-4.6192813873291,-12.2952962875366,
-0.111087374389172,-0.288613551855087,-4.19202213287354,-12.688374710083,
-0.126468697190285,-0.288186287879944,-4.57777605056763,-12.229376411438,
-0.173467200994492,-0.396710109710693,-4.74867973327637,-11.1014125823975,
-0.212988668680191,-0.625934636592865,-4.44837760925293,-10.4788347244263,
-0.252510148286819,-0.816278576850891,-4.53627119064331,-11.5408792495728,
-0.304208511114121,-0.752403330802918,-4.77309465408325,-13.6478765487671,
-0.381756037473679,-0.509933763742447,-4.83169021606445,-13.506270980835,
-0.472762227058411,-0.379406097531319,-3.9454327583313,-11.4285711288452,
-0.558000415563583,-0.142490923404694,-4.15295848846436,-9.91241159439087,
-0.684041857719421,-0.373424482345581,-4.5728931427002,-1.63823356628418,
-0.856654548645020,-1.13501389026642,-4.53382959365845,15.3764446258545,
-1.093783390522,-0.568895530700684,-4.44593620300293,6.65791759490967,
-1.40717794895172,-0.565904712677002,-4.78286046981812,-12.8885765075684,
-1.76949369907379,-0.679128384590149,-4.8707537651062,-17.2344114303589,
-2.22815628051758,-0.342234557867050,-3.63048162460327,-12.119510269165,
-2.67464203834534,-0.393078386783600,-3.04696788787842,-8.26929521560669,
-3.21597943305969,-0.454817342758179,-3.59385952949524,-5.77410192489624,
-3.89168977737427,-0.506088453531265,-3.68907732963562,-2.77596349716187,
-4.69450969696045,-0.388592189550400,-3.78185358047485,-4.20911273956299,
-5.46507139205933,-0.324289691448212,-3.90636897087097,-6.17694616317749,
-6.16663084030151,-0.367229229211807,-2.85653238296509,-5.70574026107788,
-6.76308469772339,-0.397778242826462,-0.976592254638672,-6.20136089324951,
-7.31531715393066,-0.405255287885666,-1.13040558099747,-4.46058521270752,
-7.63148908615112,-0.350566112995148,-4.82436573505402,-3.41318988800049,
-7.72762222290039,-0.373851728439331,-5.50798044204712,-4.50209016799927,
